,datetime,O,M,functional_units,SCI
0,2025-12-31 23:30:00+00:00,830.5122929369106,147.2139762952815,206,0.004746244025398991
1,2026-01-01 00:00:00+00:00,626.0538240987222,81.7581857758869,162,0.004369209937497587
2,2026-01-01 00:30:00+00:00,667.5250717857735,85.21892917148186,224,0.003360464289987747
3,2026-01-01 01:00:00+00:00,515.6804556375046,39.745791848428034,189,0.0029387632142112833
4,2026-01-01 01:30:00+00:00,470.7057115903616,47.13664782048186,162,0.0031965577741410087
5,2026-01-01 02:00:00+00:00,452.8696596172859,32.492911671621115,162,0.0029960652548697963
6,2026-01-01 02:30:00+00:00,436.0819934329246,26.47974321737298,146,0.003168231072947244
7,2026-01-01 03:00:00+00:00,392.08262729891686,23.589615027861,167,0.0024890553432741188
8,2026-01-01 03:30:00+00:00,358.32153159273935,21.298582205776647,182,0.002085824801090747
9,2026-01-01 04:00:00+00:00,354.58309308089076,25.413477168183164,162,0.002345657841043666
10,2026-01-01 04:30:00+00:00,416.0880269255507,31.211345717501494,150,0.002981995817620348
11,2026-01-01 05:00:00+00:00,444.37768262521934,36.713961305589244,174,0.0027648945053494745
12,2026-01-01 05:30:00+00:00,430.16681585187376,49.63195032172432,142,0.0033788645505182964
13,2026-01-01 06:00:00+00:00,507.66633826129254,73.58615468633239,176,0.0033025709826569596
14,2026-01-01 06:30:00+00:00,553.7008144498234,78.95668377639585,150,0.004217716654841461
15,2026-01-01 07:00:00+00:00,656.1538956604693,156.5980464558172,197,0.004125644376224804
16,2026-01-01 07:30:00+00:00,699.334662137063,151.68221161808177,254,0.0033504601328942707
17,2026-01-01 08:00:00+00:00,775.8310037102838,196.35653232360048,202,0.00481280958432616
18,2026-01-01 08:30:00+00:00,689.0293042543872,222.32447081421003,248,0.0036748136091475695
19,2026-01-01 09:00:00+00:00,839.3925349424824,298.7087730352333,258,0.0044112453797585886
20,2026-01-01 09:30:00+00:00,877.4073308519951,287.48636236874233,274,0.004251436836572035
21,2026-01-01 10:00:00+00:00,1041.9702715128633,365.8291027278192,302,0.00466158733192279
22,2026-01-01 10:30:00+00:00,1175.7943066223752,374.3776829844569,269,0.005762721150954766
23,2026-01-01 11:00:00+00:00,1125.0933682435098,408.0368906124255,313,0.004898179740753786
24,2026-01-01 11:30:00+00:00,1210.8272539146142,450.7990798838234,318,0.005225240043391313
25,2026-01-01 12:00:00+00:00,1438.654174693147,484.2220130339872,291,0.006607821950952351
26,2026-01-01 12:30:00+00:00,1466.1522161073133,466.882621120319,303,0.006379652928144001
27,2026-01-01 13:00:00+00:00,1649.23471448159,442.3250639718649,318,0.0065772320077152665
28,2026-01-01 13:30:00+00:00,1767.806260508525,544.9740104983912,334,0.006924491829362025
29,2026-01-01 14:00:00+00:00,2047.487304630021,595.4200818254379,284,0.00930601192413894
30,2026-01-01 14:30:00+00:00,2598.113892358438,537.2238474448268,300,0.010451125799344216
31,2026-01-01 15:00:00+00:00,2989.333433930388,499.0043623629524,363,0.009609745995298458
32,2026-01-01 15:30:00+00:00,3227.2944276880567,547.146602875058,309,0.012215019516385484
33,2026-01-01 16:00:00+00:00,3593.585481540427,478.55987005888267,307,0.013264317106186675
34,2026-01-01 16:30:00+00:00,4280.164907983675,551.6939406826094,359,0.013459216848652604
35,2026-01-01 17:00:00+00:00,4243.128716321879,531.9572290433259,395,0.01208882517813976
36,2026-01-01 17:30:00+00:00,4121.605229136006,489.25895317018893,378,0.01219805339234443
37,2026-01-01 18:00:00+00:00,3704.16082785017,513.3553382666386,350,0.012050046188905168
38,2026-01-01 18:30:00+00:00,3794.403204414262,508.5620021119259,263,0.01636108443546079
39,2026-01-01 19:00:00+00:00,3814.9901930826627,377.06454925691884,271,0.015468836687599933
40,2026-01-01 19:30:00+00:00,3607.7735039516597,377.39952998829006,257,0.01550650985968852
41,2026-01-01 20:00:00+00:00,3216.5987008269863,339.7753571843013,297,0.011974323427647433
42,2026-01-01 20:30:00+00:00,2837.063677875074,340.47027965177404,305,0.010418144123038845
43,2026-01-01 21:00:00+00:00,2498.658147310291,267.2722216611605,233,0.011870945789577045
44,2026-01-01 21:30:00+00:00,2308.8980870316404,288.744313649017,219,0.011861380825025834
45,2026-01-01 22:00:00+00:00,1927.7192738606097,200.29791469135688,242,0.00879345945682631
46,2026-01-01 22:30:00+00:00,1570.833190396699,206.94048200150866,245,0.007256219071013092
47,2026-01-01 23:00:00+00:00,1196.4665564263837,133.64378189902692,152,0.008750725910035596
48,2026-01-01 23:30:00+00:00,1138.135914724794,125.63672979746704,221,0.005718428255756838
49,2026-01-02 00:00:00+00:00,892.7632168899811,70.84651479282951,132,0.007300073724869778
50,2026-01-02 00:30:00+00:00,860.6081417948736,85.94923417065279,223,0.004244651910159311
51,2026-01-02 01:00:00+00:00,652.1713892113647,42.34715079750552,174,0.0039914858621199435
52,2026-01-02 01:30:00+00:00,602.768969055362,47.18051623265716,186,0.0034943520714409634
53,2026-01-02 02:00:00+00:00,555.7157300462876,24.181946090080167,160,0.0036243604758522986
54,2026-01-02 02:30:00+00:00,527.5372463362419,39.06892024808574,110,0.005150965150766615
55,2026-01-02 03:00:00+00:00,556.5156652673063,27.798754506512612,142,0.004114890280097316
56,2026-01-02 03:30:00+00:00,588.2446297229937,27.251179865948515,188,0.0032739138807922463
57,2026-01-02 04:00:00+00:00,542.3820769431185,28.62112739635119,156,0.0036602769508940363
58,2026-01-02 04:30:00+00:00,564.8652299381599,26.54327542128917,149,0.003969184599727846
59,2026-01-02 05:00:00+00:00,716.497478000993,48.33657800401033,181,0.00422560251936466
60,2026-01-02 05:30:00+00:00,847.7837756024583,46.528526010064375,151,0.0059225980239239915
61,2026-01-02 06:00:00+00:00,1327.345541680186,80.20496066751528,97,0.014510829921110323
62,2026-01-02 06:30:00+00:00,1630.6217527314634,77.48265809968296,188,0.00908566175974014
63,2026-01-02 07:00:00+00:00,2168.949918394196,141.49454246949344,155,0.014906093295894771
64,2026-01-02 07:30:00+00:00,2098.3325075713233,157.60503579887467,235,0.009599734227107226
65,2026-01-02 08:00:00+00:00,2882.8243548351065,206.64877997666386,257,0.012021296244403776
66,2026-01-02 08:30:00+00:00,2864.5692063036927,203.73984143180513,169,0.018155674838671584
67,2026-01-02 09:00:00+00:00,3229.2517629620547,254.2994473369936,204,0.01707623142303455
68,2026-01-02 09:30:00+00:00,3377.637315139351,249.69944808389764,250,0.014509347052892994
69,2026-01-02 10:00:00+00:00,4177.03111861873,336.6261977970702,286,0.015782018588866433
70,2026-01-02 10:30:00+00:00,4083.0919302083767,341.5641751343161,290,0.015257434846009287
71,2026-01-02 11:00:00+00:00,4551.277552886732,387.9430335903303,294,0.016800070022030825
72,2026-01-02 11:30:00+00:00,3914.339669232137,406.1879990615235,316,0.013672555912321712
73,2026-01-02 12:00:00+00:00,4663.294257609613,500.0528581186659,314,0.016443780623338466
74,2026-01-02 12:30:00+00:00,4676.374617640918,397.92266634557495,327,0.015517728697206398
75,2026-01-02 13:00:00+00:00,5123.4994824579335,473.05275273992606,358,0.01563282747261972
76,2026-01-02 13:30:00+00:00,5294.1717878458985,463.122545197023,342,0.016834193956265852
77,2026-01-02 14:00:00+00:00,5324.816010799168,501.8169181896702,318,0.018322745059713326
78,2026-01-02 14:30:00+00:00,6001.1835206933465,488.33015661508193,380,0.017077667571864286
79,2026-01-02 15:00:00+00:00,5890.408018504094,512.7261670063365,400,0.016007835463776075
80,2026-01-02 15:30:00+00:00,6255.218177258237,524.6591661039239,337,0.020118330395733415
81,2026-01-02 16:00:00+00:00,5954.128585066325,482.30008452862575,341,0.0188751573888415
82,2026-01-02 16:30:00+00:00,6734.489516401001,493.19147740812383,302,0.023932718522546772
83,2026-01-02 17:00:00+00:00,6108.330313537707,480.75096425843304,363,0.018151739057289642
84,2026-01-02 17:30:00+00:00,6221.643301210178,481.7805702616821,360,0.018620621865199614
85,2026-01-02 18:00:00+00:00,5483.222226001214,475.7310178576894,301,0.019797186856674098
86,2026-01-02 18:30:00+00:00,5488.1774766795215,464.32156851206344,359,0.016580777284656224
87,2026-01-02 19:00:00+00:00,4562.098747047568,411.46527717819714,307,0.016200534280865687
88,2026-01-02 19:30:00+00:00,4317.029761249549,369.8220258786767,285,0.0164450939899236
89,2026-01-02 20:00:00+00:00,3670.085002502024,352.77638204278963,256,0.015714302283378178
90,2026-01-02 20:30:00+00:00,3912.3543188581093,364.86661439208723,275,0.01555353066636435
91,2026-01-02 21:00:00+00:00,2627.684636715543,268.6077794530036,250,0.011585169664674188
92,2026-01-02 21:30:00+00:00,2737.8623561058075,264.3344135892045,228,0.013167529691644789
93,2026-01-02 22:00:00+00:00,1814.691326052502,216.09712938044478,232,0.008753398514797185
94,2026-01-02 22:30:00+00:00,1676.8400102431276,229.03206254110586,251,0.007593115827825632
95,2026-01-02 23:00:00+00:00,1063.333743185592,142.48010260518686,207,0.005825187660825019
96,2026-01-02 23:30:00+00:00,955.1896333116555,141.09403413492248,215,0.005098993802077107
97,2026-01-03 00:00:00+00:00,704.5614365044809,79.43050965523051,155,0.005058012555869106
98,2026-01-03 00:30:00+00:00,698.2289313263688,75.13011912580573,215,0.00359701883931244
99,2026-01-03 01:00:00+00:00,522.491440404912,41.5912268833433,172,0.0032795503912107873
100,2026-01-03 01:30:00+00:00,398.7893064131856,44.44120408562186,166,0.002670063316257876
