from,to,intensity.forecast,intensity.actual,intensity.index,datetime
2025-02-24T06:30Z,2025-02-24T07:00Z,72,75,low,24/02/2025 06:30
2025-02-24T07:00Z,2025-02-24T07:30Z,69,78,low,24/02/2025 07:00
2025-02-24T07:30Z,2025-02-24T08:00Z,75,83,low,24/02/2025 07:30
2025-02-24T08:00Z,2025-02-24T08:30Z,77,83,low,24/02/2025 08:00
2025-02-24T08:30Z,2025-02-24T09:00Z,82,84,low,24/02/2025 08:30
2025-02-24T09:00Z,2025-02-24T09:30Z,81,78,low,24/02/2025 09:00
2025-02-24T09:30Z,2025-02-24T10:00Z,79,73,low,24/02/2025 09:30
2025-02-24T10:00Z,2025-02-24T10:30Z,75,70,low,24/02/2025 10:00
2025-02-24T10:30Z,2025-02-24T11:00Z,66,63,low,24/02/2025 10:30
2025-02-24T11:00Z,2025-02-24T11:30Z,64,57,low,24/02/2025 11:00
2025-02-24T11:30Z,2025-02-24T12:00Z,57,51,low,24/02/2025 11:30
2025-02-24T12:00Z,2025-02-24T12:30Z,56,45,low,24/02/2025 12:00
2025-02-24T12:30Z,2025-02-24T13:00Z,48,43,low,24/02/2025 12:30
2025-02-24T13:00Z,2025-02-24T13:30Z,48,46,low,24/02/2025 13:00
2025-02-24T13:30Z,2025-02-24T14:00Z,43,51,low,24/02/2025 13:30
2025-02-24T14:00Z,2025-02-24T14:30Z,48,56,low,24/02/2025 14:00
2025-02-24T14:30Z,2025-02-24T15:00Z,52,64,low,24/02/2025 14:30
2025-02-24T15:00Z,2025-02-24T15:30Z,55,78,low,24/02/2025 15:00
2025-02-24T15:30Z,2025-02-24T16:00Z,65,84,low,24/02/2025 15:30
2025-02-24T16:00Z,2025-02-24T16:30Z,79,96,low,24/02/2025 16:00
2025-02-24T16:30Z,2025-02-24T17:00Z,103,110,moderate,24/02/2025 16:30
2025-02-24T17:00Z,2025-02-24T17:30Z,115,122,moderate,24/02/2025 17:00
2025-02-24T17:30Z,2025-02-24T18:00Z,131,133,moderate,24/02/2025 17:30
2025-02-24T18:00Z,2025-02-24T18:30Z,134,136,moderate,24/02/2025 18:00
2025-02-24T18:30Z,2025-02-24T19:00Z,144,132,moderate,24/02/2025 18:30
2025-02-24T19:00Z,2025-02-24T19:30Z,142,126,moderate,24/02/2025 19:00
2025-02-24T19:30Z,2025-02-24T20:00Z,132,128,moderate,24/02/2025 19:30
2025-02-24T20:00Z,2025-02-24T20:30Z,119,120,moderate,24/02/2025 20:00
2025-02-24T20:30Z,2025-02-24T21:00Z,117,109,moderate,24/02/2025 20:30
2025-02-24T21:00Z,2025-02-24T21:30Z,122,97,low,24/02/2025 21:00
2025-02-24T21:30Z,2025-02-24T22:00Z,106,80,low,24/02/2025 21:30
2025-02-24T22:00Z,2025-02-24T22:30Z,101,72,low,24/02/2025 22:00
2025-02-24T22:30Z,2025-02-24T23:00Z,70,66,low,24/02/2025 22:30
2025-02-24T23:00Z,2025-02-24T23:30Z,65,65,low,24/02/2025 23:00
2025-02-24T23:30Z,2025-02-25T00:00Z,66,67,low,24/02/2025 23:30
2025-02-25T00:00Z,2025-02-25T00:30Z,69,72,low,25/02/2025 00:00
2025-02-25T00:30Z,2025-02-25T01:00Z,71,74,low,25/02/2025 00:30
2025-02-25T01:00Z,2025-02-25T01:30Z,76,70,low,25/02/2025 01:00
2025-02-25T01:30Z,2025-02-25T02:00Z,77,64,low,25/02/2025 01:30
2025-02-25T02:00Z,2025-02-25T02:30Z,73,63,low,25/02/2025 02:00
2025-02-25T02:30Z,2025-02-25T03:00Z,66,70,low,25/02/2025 02:30
2025-02-25T03:00Z,2025-02-25T03:30Z,68,76,low,25/02/2025 03:00
2025-02-25T03:30Z,2025-02-25T04:00Z,71,85,low,25/02/2025 03:30
2025-02-25T04:00Z,2025-02-25T04:30Z,79,91,low,25/02/2025 04:00
2025-02-25T04:30Z,2025-02-25T05:00Z,93,104,moderate,25/02/2025 04:30
2025-02-25T05:00Z,2025-02-25T05:30Z,93,121,moderate,25/02/2025 05:00
2025-02-25T05:30Z,2025-02-25T06:00Z,108,142,moderate,25/02/2025 05:30
2025-02-25T06:00Z,2025-02-25T06:30Z,126,159,moderate,25/02/2025 06:00
2025-02-25T06:30Z,2025-02-25T07:00Z,176,165,moderate,25/02/2025 06:30
2025-02-25T07:00Z,2025-02-25T07:30Z,148,169,moderate,25/02/2025 07:00
2025-02-25T07:30Z,2025-02-25T08:00Z,176,167,moderate,25/02/2025 07:30
2025-02-25T08:00Z,2025-02-25T08:30Z,171,163,moderate,25/02/2025 08:00
2025-02-25T08:30Z,2025-02-25T09:00Z,180,155,moderate,25/02/2025 08:30
2025-02-25T09:00Z,2025-02-25T09:30Z,165,145,moderate,25/02/2025 09:00
2025-02-25T09:30Z,2025-02-25T10:00Z,154,136,moderate,25/02/2025 09:30
2025-02-25T10:00Z,2025-02-25T10:30Z,144,127,moderate,25/02/2025 10:00
2025-02-25T10:30Z,2025-02-25T11:00Z,136,121,moderate,25/02/2025 10:30
2025-02-25T11:00Z,2025-02-25T11:30Z,128,116,moderate,25/02/2025 11:00
2025-02-25T11:30Z,2025-02-25T12:00Z,123,119,moderate,25/02/2025 11:30
2025-02-25T12:00Z,2025-02-25T12:30Z,120,118,moderate,25/02/2025 12:00
2025-02-25T12:30Z,2025-02-25T13:00Z,122,121,moderate,25/02/2025 12:30
2025-02-25T13:00Z,2025-02-25T13:30Z,124,125,moderate,25/02/2025 13:00
2025-02-25T13:30Z,2025-02-25T14:00Z,128,128,moderate,25/02/2025 13:30
2025-02-25T14:00Z,2025-02-25T14:30Z,133,133,moderate,25/02/2025 14:00
2025-02-25T14:30Z,2025-02-25T15:00Z,137,142,moderate,25/02/2025 14:30
2025-02-25T15:00Z,2025-02-25T15:30Z,151,155,moderate,25/02/2025 15:00
2025-02-25T15:30Z,2025-02-25T16:00Z,163,167,moderate,25/02/2025 15:30
2025-02-25T16:00Z,2025-02-25T16:30Z,170,176,moderate,25/02/2025 16:00
2025-02-25T16:30Z,2025-02-25T17:00Z,188,181,high,25/02/2025 16:30
2025-02-25T17:00Z,2025-02-25T17:30Z,192,189,high,25/02/2025 17:00
2025-02-25T17:30Z,2025-02-25T18:00Z,199,191,high,25/02/2025 17:30
2025-02-25T18:00Z,2025-02-25T18:30Z,204,191,high,25/02/2025 18:00
2025-02-25T18:30Z,2025-02-25T19:00Z,208,190,high,25/02/2025 18:30
2025-02-25T19:00Z,2025-02-25T19:30Z,201,188,high,25/02/2025 19:00
2025-02-25T19:30Z,2025-02-25T20:00Z,204,188,high,25/02/2025 19:30
2025-02-25T20:00Z,2025-02-25T20:30Z,194,189,high,25/02/2025 20:00
2025-02-25T20:30Z,2025-02-25T21:00Z,193,181,high,25/02/2025 20:30
2025-02-25T21:00Z,2025-02-25T21:30Z,196,171,moderate,25/02/2025 21:00
2025-02-25T21:30Z,2025-02-25T22:00Z,180,162,moderate,25/02/2025 21:30
2025-02-25T22:00Z,2025-02-25T22:30Z,174,156,moderate,25/02/2025 22:00
2025-02-25T22:30Z,2025-02-25T23:00Z,147,141,moderate,25/02/2025 22:30
2025-02-25T23:00Z,2025-02-25T23:30Z,143,133,moderate,25/02/2025 23:00
2025-02-25T23:30Z,2025-02-26T00:00Z,147,131,moderate,25/02/2025 23:30
2025-02-26T00:00Z,2025-02-26T00:30Z,145,133,moderate,26/02/2025 00:00
2025-02-26T00:30Z,2025-02-26T01:00Z,152,137,moderate,26/02/2025 00:30
2025-02-26T01:00Z,2025-02-26T01:30Z,130,138,moderate,26/02/2025 01:00
2025-02-26T01:30Z,2025-02-26T02:00Z,129,135,moderate,26/02/2025 01:30
2025-02-26T02:00Z,2025-02-26T02:30Z,138,137,moderate,26/02/2025 02:00
2025-02-26T02:30Z,2025-02-26T03:00Z,138,137,moderate,26/02/2025 02:30
2025-02-26T03:00Z,2025-02-26T03:30Z,140,138,moderate,26/02/2025 03:00
2025-02-26T03:30Z,2025-02-26T04:00Z,142,143,moderate,26/02/2025 03:30
2025-02-26T04:00Z,2025-02-26T04:30Z,147,147,moderate,26/02/2025 04:00
2025-02-26T04:30Z,2025-02-26T05:00Z,148,164,moderate,26/02/2025 04:30
2025-02-26T05:00Z,2025-02-26T05:30Z,167,173,moderate,26/02/2025 05:00
2025-02-26T05:30Z,2025-02-26T06:00Z,194,189,high,26/02/2025 05:30
2025-02-26T06:00Z,2025-02-26T06:30Z,204,196,high,26/02/2025 06:00
2025-02-26T06:30Z,2025-02-26T07:00Z,214,201,high,26/02/2025 06:30
2025-02-26T07:00Z,2025-02-26T07:30Z,217,201,high,26/02/2025 07:00
2025-02-26T07:30Z,2025-02-26T08:00Z,218,194,high,26/02/2025 07:30
2025-02-26T08:00Z,2025-02-26T08:30Z,204,196,high,26/02/2025 08:00
2025-02-26T08:30Z,2025-02-26T09:00Z,205,197,high,26/02/2025 08:30
2025-02-26T09:00Z,2025-02-26T09:30Z,204,188,high,26/02/2025 09:00
2025-02-26T09:30Z,2025-02-26T10:00Z,204,180,high,26/02/2025 09:30
2025-02-26T10:00Z,2025-02-26T10:30Z,193,175,moderate,26/02/2025 10:00
2025-02-26T10:30Z,2025-02-26T11:00Z,176,170,moderate,26/02/2025 10:30
2025-02-26T11:00Z,2025-02-26T11:30Z,156,160,moderate,26/02/2025 11:00
2025-02-26T11:30Z,2025-02-26T12:00Z,147,153,moderate,26/02/2025 11:30
2025-02-26T12:00Z,2025-02-26T12:30Z,162,150,moderate,26/02/2025 12:00
2025-02-26T12:30Z,2025-02-26T13:00Z,148,145,moderate,26/02/2025 12:30
2025-02-26T13:00Z,2025-02-26T13:30Z,140,147,moderate,26/02/2025 13:00
2025-02-26T13:30Z,2025-02-26T14:00Z,152,148,moderate,26/02/2025 13:30
2025-02-26T14:00Z,2025-02-26T14:30Z,163,154,moderate,26/02/2025 14:00
2025-02-26T14:30Z,2025-02-26T15:00Z,161,166,moderate,26/02/2025 14:30
2025-02-26T15:00Z,2025-02-26T15:30Z,166,181,high,26/02/2025 15:00
2025-02-26T15:30Z,2025-02-26T16:00Z,181,194,high,26/02/2025 15:30
2025-02-26T16:00Z,2025-02-26T16:30Z,201,205,high,26/02/2025 16:00
2025-02-26T16:30Z,2025-02-26T17:00Z,211,205,high,26/02/2025 16:30
2025-02-26T17:00Z,2025-02-26T17:30Z,223,212,high,26/02/2025 17:00
2025-02-26T17:30Z,2025-02-26T18:00Z,226,213,high,26/02/2025 17:30
2025-02-26T18:00Z,2025-02-26T18:30Z,227,213,high,26/02/2025 18:00
2025-02-26T18:30Z,2025-02-26T19:00Z,231,213,high,26/02/2025 18:30
2025-02-26T19:00Z,2025-02-26T19:30Z,231,210,high,26/02/2025 19:00
2025-02-26T19:30Z,2025-02-26T20:00Z,226,208,high,26/02/2025 19:30
2025-02-26T20:00Z,2025-02-26T20:30Z,218,197,high,26/02/2025 20:00
2025-02-26T20:30Z,2025-02-26T21:00Z,210,196,high,26/02/2025 20:30
2025-02-26T21:00Z,2025-02-26T21:30Z,190,182,high,26/02/2025 21:00
2025-02-26T21:30Z,2025-02-26T22:00Z,190,165,moderate,26/02/2025 21:30
2025-02-26T22:00Z,2025-02-26T22:30Z,172,154,moderate,26/02/2025 22:00
2025-02-26T22:30Z,2025-02-26T23:00Z,160,147,moderate,26/02/2025 22:30
2025-02-26T23:00Z,2025-02-26T23:30Z,127,143,moderate,26/02/2025 23:00
2025-02-26T23:30Z,2025-02-27T00:00Z,130,144,moderate,26/02/2025 23:30
2025-02-27T00:00Z,2025-02-27T00:30Z,135,147,moderate,27/02/2025 00:00
2025-02-27T00:30Z,2025-02-27T01:00Z,141,150,moderate,27/02/2025 00:30
2025-02-27T01:00Z,2025-02-27T01:30Z,147,149,moderate,27/02/2025 01:00
2025-02-27T01:30Z,2025-02-27T02:00Z,152,152,moderate,27/02/2025 01:30
2025-02-27T02:00Z,2025-02-27T02:30Z,143,153,moderate,27/02/2025 02:00
2025-02-27T02:30Z,2025-02-27T03:00Z,146,150,moderate,27/02/2025 02:30
2025-02-27T03:00Z,2025-02-27T03:30Z,138,153,moderate,27/02/2025 03:00
2025-02-27T03:30Z,2025-02-27T04:00Z,149,161,moderate,27/02/2025 03:30
2025-02-27T04:00Z,2025-02-27T04:30Z,148,164,moderate,27/02/2025 04:00
2025-02-27T04:30Z,2025-02-27T05:00Z,162,175,moderate,27/02/2025 04:30
2025-02-27T05:00Z,2025-02-27T05:30Z,169,186,high,27/02/2025 05:00
2025-02-27T05:30Z,2025-02-27T06:00Z,183,195,high,27/02/2025 05:30
2025-02-27T06:00Z,2025-02-27T06:30Z,222,202,high,27/02/2025 06:00
2025-02-27T06:30Z,2025-02-27T07:00Z,207,204,high,27/02/2025 06:30
2025-02-27T07:00Z,2025-02-27T07:30Z,202,199,high,27/02/2025 07:00
2025-02-27T07:30Z,2025-02-27T08:00Z,203,183,high,27/02/2025 07:30
2025-02-27T08:00Z,2025-02-27T08:30Z,202,176,moderate,27/02/2025 08:00
2025-02-27T08:30Z,2025-02-27T09:00Z,183,166,moderate,27/02/2025 08:30
2025-02-27T09:00Z,2025-02-27T09:30Z,175,157,moderate,27/02/2025 09:00
2025-02-27T09:30Z,2025-02-27T10:00Z,164,149,moderate,27/02/2025 09:30
2025-02-27T10:00Z,2025-02-27T10:30Z,156,140,moderate,27/02/2025 10:00
2025-02-27T10:30Z,2025-02-27T11:00Z,147,131,moderate,27/02/2025 10:30
2025-02-27T11:00Z,2025-02-27T11:30Z,139,129,moderate,27/02/2025 11:00
2025-02-27T11:30Z,2025-02-27T12:00Z,141,127,moderate,27/02/2025 11:30
2025-02-27T12:00Z,2025-02-27T12:30Z,131,121,moderate,27/02/2025 12:00
2025-02-27T12:30Z,2025-02-27T13:00Z,126,120,moderate,27/02/2025 12:30
2025-02-27T13:00Z,2025-02-27T13:30Z,124,121,moderate,27/02/2025 13:00
2025-02-27T13:30Z,2025-02-27T14:00Z,123,129,moderate,27/02/2025 13:30
2025-02-27T14:00Z,2025-02-27T14:30Z,127,133,moderate,27/02/2025 14:00
2025-02-27T14:30Z,2025-02-27T15:00Z,140,142,moderate,27/02/2025 14:30
2025-02-27T15:00Z,2025-02-27T15:30Z,146,154,moderate,27/02/2025 15:00
2025-02-27T15:30Z,2025-02-27T16:00Z,151,172,moderate,27/02/2025 15:30
2025-02-27T16:00Z,2025-02-27T16:30Z,157,188,high,27/02/2025 16:00
2025-02-27T16:30Z,2025-02-27T17:00Z,191,199,high,27/02/2025 16:30
2025-02-27T17:00Z,2025-02-27T17:30Z,202,208,high,27/02/2025 17:00
2025-02-27T17:30Z,2025-02-27T18:00Z,211,213,high,27/02/2025 17:30
2025-02-27T18:00Z,2025-02-27T18:30Z,222,216,high,27/02/2025 18:00
2025-02-27T18:30Z,2025-02-27T19:00Z,224,217,high,27/02/2025 18:30
2025-02-27T19:00Z,2025-02-27T19:30Z,229,220,high,27/02/2025 19:00
2025-02-27T19:30Z,2025-02-27T20:00Z,226,228,high,27/02/2025 19:30
2025-02-27T20:00Z,2025-02-27T20:30Z,226,230,high,27/02/2025 20:00
2025-02-27T20:30Z,2025-02-27T21:00Z,226,229,high,27/02/2025 20:30
2025-02-27T21:00Z,2025-02-27T21:30Z,220,229,high,27/02/2025 21:00
2025-02-27T21:30Z,2025-02-27T22:00Z,215,221,high,27/02/2025 21:30
2025-02-27T22:00Z,2025-02-27T22:30Z,212,218,high,27/02/2025 22:00
2025-02-27T22:30Z,2025-02-27T23:00Z,209,211,high,27/02/2025 22:30
2025-02-27T23:00Z,2025-02-27T23:30Z,206,211,high,27/02/2025 23:00
2025-02-27T23:30Z,2025-02-28T00:00Z,211,207,high,27/02/2025 23:30
2025-02-28T00:00Z,2025-02-28T00:30Z,209,213,high,28/02/2025 00:00
2025-02-28T00:30Z,2025-02-28T01:00Z,209,207,high,28/02/2025 00:30
2025-02-28T01:00Z,2025-02-28T01:30Z,207,205,high,28/02/2025 01:00
2025-02-28T01:30Z,2025-02-28T02:00Z,212,199,high,28/02/2025 01:30
2025-02-28T02:00Z,2025-02-28T02:30Z,205,198,high,28/02/2025 02:00
2025-02-28T02:30Z,2025-02-28T03:00Z,201,201,high,28/02/2025 02:30
2025-02-28T03:00Z,2025-02-28T03:30Z,197,202,high,28/02/2025 03:00
2025-02-28T03:30Z,2025-02-28T04:00Z,203,206,high,28/02/2025 03:30
2025-02-28T04:00Z,2025-02-28T04:30Z,202,210,high,28/02/2025 04:00
2025-02-28T04:30Z,2025-02-28T05:00Z,214,219,high,28/02/2025 04:30
2025-02-28T05:00Z,2025-02-28T05:30Z,220,222,high,28/02/2025 05:00
2025-02-28T05:30Z,2025-02-28T06:00Z,235,221,high,28/02/2025 05:30
2025-02-28T06:00Z,2025-02-28T06:30Z,243,228,high,28/02/2025 06:00
2025-02-28T06:30Z,2025-02-28T07:00Z,239,229,high,28/02/2025 06:30
2025-02-28T07:00Z,2025-02-28T07:30Z,234,228,high,28/02/2025 07:00
2025-02-28T07:30Z,2025-02-28T08:00Z,242,220,high,28/02/2025 07:30
2025-02-28T08:00Z,2025-02-28T08:30Z,237,215,high,28/02/2025 08:00
2025-02-28T08:30Z,2025-02-28T09:00Z,232,211,high,28/02/2025 08:30
2025-02-28T09:00Z,2025-02-28T09:30Z,218,205,high,28/02/2025 09:00
2025-02-28T09:30Z,2025-02-28T10:00Z,217,199,high,28/02/2025 09:30
2025-02-28T10:00Z,2025-02-28T10:30Z,208,190,high,28/02/2025 10:00
2025-02-28T10:30Z,2025-02-28T11:00Z,201,180,high,28/02/2025 10:30
2025-02-28T11:00Z,2025-02-28T11:30Z,195,173,moderate,28/02/2025 11:00
2025-02-28T11:30Z,2025-02-28T12:00Z,181,168,moderate,28/02/2025 11:30
2025-02-28T12:00Z,2025-02-28T12:30Z,172,164,moderate,28/02/2025 12:00
2025-02-28T12:30Z,2025-02-28T13:00Z,166,161,moderate,28/02/2025 12:30
2025-02-28T13:00Z,2025-02-28T13:30Z,168,159,moderate,28/02/2025 13:00
2025-02-28T13:30Z,2025-02-28T14:00Z,164,160,moderate,28/02/2025 13:30
2025-02-28T14:00Z,2025-02-28T14:30Z,165,167,moderate,28/02/2025 14:00
2025-02-28T14:30Z,2025-02-28T15:00Z,168,181,high,28/02/2025 14:30
2025-02-28T15:00Z,2025-02-28T15:30Z,179,193,high,28/02/2025 15:00
2025-02-28T15:30Z,2025-02-28T16:00Z,199,199,high,28/02/2025 15:30
2025-02-28T16:00Z,2025-02-28T16:30Z,209,206,high,28/02/2025 16:00
2025-02-28T16:30Z,2025-02-28T17:00Z,212,209,high,28/02/2025 16:30
2025-02-28T17:00Z,2025-02-28T17:30Z,220,215,high,28/02/2025 17:00
2025-02-28T17:30Z,2025-02-28T18:00Z,223,220,high,28/02/2025 17:30
2025-02-28T18:00Z,2025-02-28T18:30Z,226,221,high,28/02/2025 18:00
2025-02-28T18:30Z,2025-02-28T19:00Z,229,224,high,28/02/2025 18:30
2025-02-28T19:00Z,2025-02-28T19:30Z,228,224,high,28/02/2025 19:00
2025-02-28T19:30Z,2025-02-28T20:00Z,231,234,high,28/02/2025 19:30
2025-02-28T20:00Z,2025-02-28T20:30Z,232,234,high,28/02/2025 20:00
2025-02-28T20:30Z,2025-02-28T21:00Z,226,231,high,28/02/2025 20:30
2025-02-28T21:00Z,2025-02-28T21:30Z,214,221,high,28/02/2025 21:00
2025-02-28T21:30Z,2025-02-28T22:00Z,223,204,high,28/02/2025 21:30
2025-02-28T22:00Z,2025-02-28T22:30Z,219,194,high,28/02/2025 22:00
2025-02-28T22:30Z,2025-02-28T23:00Z,197,172,moderate,28/02/2025 22:30
2025-02-28T23:00Z,2025-02-28T23:30Z,191,165,moderate,28/02/2025 23:00
2025-02-28T23:30Z,2025-03-01T00:00Z,161,163,moderate,28/02/2025 23:30
2025-03-01T00:00Z,2025-03-01T00:30Z,170,161,moderate,01/03/2025 00:00
2025-03-01T00:30Z,2025-03-01T01:00Z,169,156,moderate,01/03/2025 00:30
2025-03-01T01:00Z,2025-03-01T01:30Z,174,156,moderate,01/03/2025 01:00
2025-03-01T01:30Z,2025-03-01T02:00Z,173,158,moderate,01/03/2025 01:30
2025-03-01T02:00Z,2025-03-01T02:30Z,173,158,moderate,01/03/2025 02:00
2025-03-01T02:30Z,2025-03-01T03:00Z,172,158,moderate,01/03/2025 02:30
2025-03-01T03:00Z,2025-03-01T03:30Z,164,158,moderate,01/03/2025 03:00
2025-03-01T03:30Z,2025-03-01T04:00Z,163,158,moderate,01/03/2025 03:30
2025-03-01T04:00Z,2025-03-01T04:30Z,165,157,moderate,01/03/2025 04:00
2025-03-01T04:30Z,2025-03-01T05:00Z,173,158,moderate,01/03/2025 04:30
2025-03-01T05:00Z,2025-03-01T05:30Z,171,157,moderate,01/03/2025 05:00
2025-03-01T05:30Z,2025-03-01T06:00Z,169,154,moderate,01/03/2025 05:30
2025-03-01T06:00Z,2025-03-01T06:30Z,184,155,moderate,01/03/2025 06:00
2025-03-01T06:30Z,2025-03-01T07:00Z,174,160,moderate,01/03/2025 06:30
2025-03-01T07:00Z,2025-03-01T07:30Z,156,161,moderate,01/03/2025 07:00
2025-03-01T07:30Z,2025-03-01T08:00Z,174,160,moderate,01/03/2025 07:30
2025-03-01T08:00Z,2025-03-01T08:30Z,169,153,moderate,01/03/2025 08:00
2025-03-01T08:30Z,2025-03-01T09:00Z,164,148,moderate,01/03/2025 08:30
2025-03-01T09:00Z,2025-03-01T09:30Z,157,137,moderate,01/03/2025 09:00
2025-03-01T09:30Z,2025-03-01T10:00Z,153,131,moderate,01/03/2025 09:30
2025-03-01T10:00Z,2025-03-01T10:30Z,141,126,moderate,01/03/2025 10:00
2025-03-01T10:30Z,2025-03-01T11:00Z,133,115,moderate,01/03/2025 10:30
2025-03-01T11:00Z,2025-03-01T11:30Z,127,105,moderate,01/03/2025 11:00
2025-03-01T11:30Z,2025-03-01T12:00Z,119,101,moderate,01/03/2025 11:30
2025-03-01T12:00Z,2025-03-01T12:30Z,111,101,moderate,01/03/2025 12:00
2025-03-01T12:30Z,2025-03-01T13:00Z,105,104,moderate,01/03/2025 12:30
2025-03-01T13:00Z,2025-03-01T13:30Z,103,108,moderate,01/03/2025 13:00
2025-03-01T13:30Z,2025-03-01T14:00Z,111,113,moderate,01/03/2025 13:30
2025-03-01T14:00Z,2025-03-01T14:30Z,116,121,moderate,01/03/2025 14:00
2025-03-01T14:30Z,2025-03-01T15:00Z,119,136,moderate,01/03/2025 14:30
2025-03-01T15:00Z,2025-03-01T15:30Z,131,156,moderate,01/03/2025 15:00
2025-03-01T15:30Z,2025-03-01T16:00Z,143,177,moderate,01/03/2025 15:30
2025-03-01T16:00Z,2025-03-01T16:30Z,168,187,high,01/03/2025 16:00
2025-03-01T16:30Z,2025-03-01T17:00Z,194,193,high,01/03/2025 16:30
2025-03-01T17:00Z,2025-03-01T17:30Z,206,203,high,01/03/2025 17:00
2025-03-01T17:30Z,2025-03-01T18:00Z,215,209,high,01/03/2025 17:30
2025-03-01T18:00Z,2025-03-01T18:30Z,221,209,high,01/03/2025 18:00
2025-03-01T18:30Z,2025-03-01T19:00Z,223,210,high,01/03/2025 18:30
2025-03-01T19:00Z,2025-03-01T19:30Z,219,210,high,01/03/2025 19:00
2025-03-01T19:30Z,2025-03-01T20:00Z,223,210,high,01/03/2025 19:30
2025-03-01T20:00Z,2025-03-01T20:30Z,215,207,high,01/03/2025 20:00
2025-03-01T20:30Z,2025-03-01T21:00Z,208,201,high,01/03/2025 20:30
2025-03-01T21:00Z,2025-03-01T21:30Z,205,193,high,01/03/2025 21:00
2025-03-01T21:30Z,2025-03-01T22:00Z,205,185,high,01/03/2025 21:30
2025-03-01T22:00Z,2025-03-01T22:30Z,194,174,moderate,01/03/2025 22:00
2025-03-01T22:30Z,2025-03-01T23:00Z,188,166,moderate,01/03/2025 22:30
2025-03-01T23:00Z,2025-03-01T23:30Z,177,158,moderate,01/03/2025 23:00
2025-03-01T23:30Z,2025-03-02T00:00Z,165,155,moderate,01/03/2025 23:30
2025-03-02T00:00Z,2025-03-02T00:30Z,160,156,moderate,02/03/2025 00:00
2025-03-02T00:30Z,2025-03-02T01:00Z,156,153,moderate,02/03/2025 00:30
2025-03-02T01:00Z,2025-03-02T01:30Z,162,146,moderate,02/03/2025 01:00
2025-03-02T01:30Z,2025-03-02T02:00Z,156,143,moderate,02/03/2025 01:30
2025-03-02T02:00Z,2025-03-02T02:30Z,150,141,moderate,02/03/2025 02:00
2025-03-02T02:30Z,2025-03-02T03:00Z,148,136,moderate,02/03/2025 02:30
2025-03-02T03:00Z,2025-03-02T03:30Z,146,135,moderate,02/03/2025 03:00
2025-03-02T03:30Z,2025-03-02T04:00Z,143,139,moderate,02/03/2025 03:30
2025-03-02T04:00Z,2025-03-02T04:30Z,141,137,moderate,02/03/2025 04:00
2025-03-02T04:30Z,2025-03-02T05:00Z,145,139,moderate,02/03/2025 04:30
2025-03-02T05:00Z,2025-03-02T05:30Z,147,136,moderate,02/03/2025 05:00
2025-03-02T05:30Z,2025-03-02T06:00Z,140,134,moderate,02/03/2025 05:30
2025-03-02T06:00Z,2025-03-02T06:30Z,145,136,moderate,02/03/2025 06:00
2025-03-02T06:30Z,2025-03-02T07:00Z,143,135,moderate,02/03/2025 06:30
2025-03-02T07:00Z,2025-03-02T07:30Z,146,134,moderate,02/03/2025 07:00
2025-03-02T07:30Z,2025-03-02T08:00Z,144,128,moderate,02/03/2025 07:30
2025-03-02T08:00Z,2025-03-02T08:30Z,142,122,moderate,02/03/2025 08:00
2025-03-02T08:30Z,2025-03-02T09:00Z,142,109,moderate,02/03/2025 08:30
2025-03-02T09:00Z,2025-03-02T09:30Z,140,96,low,02/03/2025 09:00
2025-03-02T09:30Z,2025-03-02T10:00Z,139,83,low,02/03/2025 09:30
2025-03-02T10:00Z,2025-03-02T10:30Z,95,79,low,02/03/2025 10:00
2025-03-02T10:30Z,2025-03-02T11:00Z,81,76,low,02/03/2025 10:30
2025-03-02T11:00Z,2025-03-02T11:30Z,75,73,low,02/03/2025 11:00
2025-03-02T11:30Z,2025-03-02T12:00Z,76,75,low,02/03/2025 11:30
2025-03-02T12:00Z,2025-03-02T12:30Z,71,72,low,02/03/2025 12:00
2025-03-02T12:30Z,2025-03-02T13:00Z,73,72,low,02/03/2025 12:30
2025-03-02T13:00Z,2025-03-02T13:30Z,75,71,low,02/03/2025 13:00
2025-03-02T13:30Z,2025-03-02T14:00Z,78,72,low,02/03/2025 13:30
2025-03-02T14:00Z,2025-03-02T14:30Z,76,81,low,02/03/2025 14:00
2025-03-02T14:30Z,2025-03-02T15:00Z,78,92,low,02/03/2025 14:30
2025-03-02T15:00Z,2025-03-02T15:30Z,79,106,moderate,02/03/2025 15:00
2025-03-02T15:30Z,2025-03-02T16:00Z,80,120,moderate,02/03/2025 15:30
2025-03-02T16:00Z,2025-03-02T16:30Z,102,139,moderate,02/03/2025 16:00
2025-03-02T16:30Z,2025-03-02T17:00Z,139,153,moderate,02/03/2025 16:30
2025-03-02T17:00Z,2025-03-02T17:30Z,149,160,moderate,02/03/2025 17:00
2025-03-02T17:30Z,2025-03-02T18:00Z,164,162,moderate,02/03/2025 17:30
2025-03-02T18:00Z,2025-03-02T18:30Z,170,158,moderate,02/03/2025 18:00
2025-03-02T18:30Z,2025-03-02T19:00Z,158,159,moderate,02/03/2025 18:30
2025-03-02T19:00Z,2025-03-02T19:30Z,153,160,moderate,02/03/2025 19:00
2025-03-02T19:30Z,2025-03-02T20:00Z,152,159,moderate,02/03/2025 19:30
2025-03-02T20:00Z,2025-03-02T20:30Z,154,161,moderate,02/03/2025 20:00
2025-03-02T20:30Z,2025-03-02T21:00Z,150,159,moderate,02/03/2025 20:30
